a			ʌ
ably			ejˈbli
abner			æˈbnɚ
abney			æˈbni
abnormal		æbnɔˈɹmʌl
abnormalities		æˌbnɔɹmæˈlʌtiz
abnormality		æˌbnɔɹmæˈlʌti
abnormally		æbnɔˈɹmʌli
abo			ɑˈbow
abo's			ɑˈbowz
aboard			ʌbɔˈɹd
abode			ʌbowˈd
abohalima		æbʌhʌliˈmʌ
abolish		ʌbɑˈlɪʃ
abolished		ʌbɑˈlɪʃt
abolishes		ʌbɑˈlɪʃɪz
abolishing		ʌbɑˈlɪʃɪŋ
abolition		æˌbʌlɪˈʃʌn
abolitionism		æˌbʌlɪˈʃʌnɪˌzʌm
abolitionist		æˌbʌlɪˈʃʌnʌst
abolitionists		æˌbʌlɪˈʃʌnʌsts
abolitionists(1)	æˌbʌlɪˈʃʌnʌs
abominable		ʌbɑˈmʌnʌbʌl
abomination		ʌbɑˌmʌnejˈʃʌn
abood			ʌbuˈd
aboodi			ʌbuˈdi
abor			ʌbɔˈɹ
aboriginal		æˌbɚɪˈʤʌnʌl
aborigine		æˌbɚɪˈʤʌni
aborigines		æˌbɚɪˈʤʌniz
aborn			ʌbɔˈɹn
abort			ʌbɔˈɹt
aborted		ʌbɔˈɹtɪd
abortifacient		ʌbɔˌɹtʌfejˈʃʌnt
abortifacients		ʌbɔˌɹtʌfejˈʃʌnts
aborting		ʌbɔˈɹtɪŋ
abortion		ʌbɔˈɹʃʌn
abortionist		ʌbɔˈɹʃʌnɪst
abortionists		ʌbɔˈɹʃʌnɪsts
abortionists(1)	ʌbɔˈɹʃʌnɪs
abortions		ʌbɔˈɹʃʌnz
abortive		ʌbɔˈɹtɪv
aborts			ʌbɔˈɹts
abott			ʌbɑˈt
abou			ʌbuˈ
aboud			ɑbuˈd
abouhalima		ɑˌbuhɑliˈmʌ
abouhalima's		ɑˌbuhɑliˈmʌz
abound			ʌbawˈnd
abounded		ʌbawˈndɪd
abounding		ʌbawˈndɪŋ
abounds		ʌbawˈndz
about			ʌbawˈt
about's		ʌbawˈts
above			ʌbʌˈv
above's		ʌbʌˈvz
aboveboard		ʌbʌˈvbɔˌɹd
abplanalp		æˈbplʌnælp
abra			ɑˈbɹʌ
abracadabra		æˌbɹʌkʌdæˈbɹʌ
abraham		ejˈbɹʌhæˌm
abrahamian		æˌbɹʌhejˈmiʌn
abrahams		ejˈbɹʌhæˌmz
abrahamsen		æbɹʌhæˈmsʌn
abrahamson		ʌbɹæˈhʌmsʌn
abram			ʌbɹæˈm
abram's		ejˈbɹʌmz
abramczyk		ɑˈbɹʌmʧɪk
abramo			ɑbɹɑˈmow
abramovitz		ʌbɹɑˈmʌvɪts
abramowicz		ʌbɹɑˈmʌvɪʧ
abramowitz		ʌbɹɑˈmʌwɪts
abrams			ejˈbɹʌmz
abrams's		ejˈbɹʌmzɪz
abramson		ejˈbɹʌmsʌn
abrasion		ʌbɹejˈʒʌn
abrasions		ʌbɹejˈʒʌnz
abrasive		ʌbɹejˈsɪv
abrasives		ʌbɹejˈsɪvz
abraxa			ʌbɹæˈksʌ
abraxa's		ʌbɹæˈksʌz
abraxas		ʌbɹæˈksʌz
abreast		ʌbɹɛˈst
abrego			ɑbɹɛˈgow
abreu			ʌbɹuˈ
abridge		ʌbɹɪˈʤ
abridged		ʌbɹɪˈʤd
abridgement		ʌbɹɪˈʤmʌnt
abridges		ʌbɹɪˈʤʌz
abridging		ʌbɹɪˈʤɪŋ
abril			ʌbɹɪˈl
abroad			ʌbɹɔˈd
abrogate		æˈbɹʌgejˌt
abrogated		æˈbɹʌgejˌtɪd
abrogating		æˈbɹʌgejˌtɪŋ
abrogation		æˌbɹʌgejˈʃʌn
abrol			ʌbɹowˈl
abron			ʌbɹɑˈn
abrupt			ʌbɹʌˈpt
abruptly		ʌbɹʌˈptli
abruptness		ʌbɹʌˈptnʌs
abrutyn		ejˈbɹutɪn
abruzzese		ɑbɹutsejˈzi
abruzzo		ɑbɹuˈzow
abs			ejˈbiˈɛˈs
abs(1)			æˈbz
absalom		æˈbsʌlʌm
absaraka		æbsɑˈɹʌkʌ
abscam			æˈbskæm
abscess		æˈbsɛˌs
abscond		æbskɑˈnd
absconded		æbskɑˈndʌd
absconding		æbskɑˈndɪŋ
absconds		æbskɑˈndz
absecon		æˈbsʌkɔn
absence		æˈbsʌns
absences		æˈbsʌnsɪz
absent			æˈbsʌnt
absentee		æˌbsʌntiˈ
absenteeism		æˌbsʌntiˈɪzʌm
absentees		æˌbsʌntiˈz
absentia		æbsɛˈnʃʌ
absher			æˈbʃɚ
abshier		æˈbʃiɚ
abshire		æˈbʃajˌɹ
absinthe		æˈbsɪnθ
abso			æˈbsow
absolom		æˈbsʌlʌm
absolut		æˌbsʌluˈt
absolut's		æˌbsʌluˈts
absolute		æˈbsʌluˌt
absolutely		æˌbsʌluˈtli
absoluteness		æˈbsʌluˌtnʌs
absolutes		æˈbsʌluˌts
absolution		æˌbsʌluˈʃʌn
absolutism		æˈbsʌluˌtɪˌzʌm
absolutist		æbsɪluˈtɪst
absolve		ʌbzɑˈlv
absolve(1)		æbzɑˈlv
absolved		ʌbzɑˈlvd
absolved(1)		æbzɑˈlvd
absolves		ʌbzɑˈlvz
absolves(1)		æbzɑˈlvz
absolving		ʌbzɑˈlvɪŋ
absolving(1)		æbzɑˈlvɪŋ
absorb			ʌbzɔˈɹb
absorbed		ʌbzɔˈɹbd
absorbency		ʌbzɔˈɹbʌnsi
absorbent		ʌbzɔˈɹbʌnt
absorber		ʌbzɔˈɹbɚ
absorbers		ʌbzɔˈɹbɚz
absorbing		ʌbzɔˈɹbɪŋ
absorbs		ʌbzɔˈɹbz
absorption		ʌbzɔˈɹpʃʌn
absorption(1)		ʌbsɔˈɹpʃʌn
abstain		ʌbstejˈn
abstain(1)		æbstejˈn
abstained		ʌbstejˈnd
abstained(1)		æbstejˈnd
abstaining		ʌbstejˈnɪŋ
abstaining(1)		æbstejˈnɪŋ
abstention		ʌbstɛˈnʧʌn
abstention(1)		æbstɛˈnʧʌn
abstentions		ʌbstɛˈnʧʌnz
abstentions(1)		æbstɛˈnʧʌnz
abstinence		æˈbstʌnʌns
abstinent		æˈbstʌnʌnt
abston			æˈbstʌn
abstract		æbstɹæˈkt
abstract(1)		æˈbstɹæˌkt
abstracted		æˈbstɹæˌktɪd
abstraction		æbstɹæˈkʃʌn
abstractions		æbstɹæˈkʃʌnz
abstracts		æˈbstɹækts
abstruse		ʌbstɹuˈs
absurd			ʌbsɚˈd
absurdist		ʌbsɚˈdɪst
absurdities		ʌbsɚˈdʌtiz
absurdity		ʌbsɚˈdʌti
absurdly		ʌbsɚˈdli
abt			æˈbt
abt(1)			ejˈbiˈtiˈ
abts			æˈbts
abts(1)		ejˈbiˈtiˈz
abts(2)		ejˈbiˈtiˈɛˈs
abu			æˈbu
abudrahm		ʌbʌˈdɹʌm
abuellah		ʌbwɛˈlʌ
abuellah's		ʌbwɛˈlʌz
abuladze		æˌbjulæˈdzi
abundance		ʌbʌˈndʌns
abundant		ʌbʌˈndʌnt
abundantly		ʌbʌˈndʌntli
aburto			ʌbʊˈɹtowˌ
aburto's		ʌbʊˈɹtowˌz
abuse			ʌbjuˈs
abuse(1)		ʌbjuˈz
abused			ʌbjuˈzd
abuser			ʌbjuˈzɚ
abusers		ʌbjuˈzɚz
abuses			ʌbjuˈsɪz
abuses(1)		ʌbjuˈzɪz
abusing		ʌbjuˈzɪŋ
abusive		ʌbjuˈsɪv
abut			ʌbʌˈt
abuts			ʌbʌˈts
abutted		ʌbʌˈtʌd
abutting		ʌbʌˈtɪŋ
abuzz			ʌbʌˈz
abysmal		ʌbɪˈzmʌl
abysmally		ʌbɪˈzmʌli
abyss			ʌbɪˈs
abyssinia		æbsɪˈniˌʌ
abyssinian		æbsɪˈniˌʌn
abzug			æˈbzʌˌg
abzug(1)		æˈbzʊˌg
ac			ejˈsiˈ
aca			æˈkʌ
acacia			ʌkejˈʃʌ
academe		æˈkʌdiˌm
academia		æˌkʌdiˈmiʌ
academic		æˌkʌdɛˈmɪk
academically		æˌkʌdɛˈmɪkli
academician		æˌkʌdʌmɪˈʃʌn
academicians		æˌkʌdʌmɪˈʃʌnz
academicians(1)	ʌkæˌdʌmɪˈʃʌnz
academics		æˌkʌdɛˈmɪks
academies		ʌkæˈdʌmiz
academy		ʌkæˈdʌmi
academy's		ʌkæˈdʌmiz
acadia			ʌkejˈdiʌ
acampo			ʌkɑˈmpow
acampora		ʌkæˈmpɚʌ
acampsia		ʌkæˈmpsjʌ
acantha		ɑkɑˈnðʌ
acapulco		æˌkʌpʊˈlkow
acary			æˈkɚi
accardi		ɑkɑˈɹdi
accardo		ɑkɑˈɹdow
accede			æksiˈd
acceded		æksiˈdɪd
accedes		æksiˈdz
acceding		æksiˈdɪŋ
accel			ʌksɛˈl
accelerant		æksɛˈlɚʌnt
accelerants		æksɛˈlɚʌnts
accelerate		æksɛˈlɚejˌt
accelerated		æksɛˈlɚejˌtɪd
accelerates		æksɛˈlɚejˌts
accelerating		æksɛˈlɚejˌtɪŋ
acceleration		æˌksɛˌlɚejˈʃʌn
accelerator		æksɛˈlɚejˌtɚ
accelerators		æksɛˈlɚejˌtɚz
accelerometer		æksɛˌlɚɑˈmʌtɚ
accelerometers		æksɛˌlɚɑˈmʌtɚz
accent			ʌksɛˈnt
accent(1)		æˈksɛˌnt
accented		æˈksɛntɪd
accenting		æˈksɛntɪŋ
accents		æˈksɛnts
accentuate		æksɛˈnʧuejt
accentuated		æksɛˈnʧʌwejˌtɪd
accentuates		æksɛˈnʧuejts
accentuating		æksɛˈnʧʌwejˌtɪŋ
accept			æksɛˈpt
accept(1)		ʌksɛˈpt
acceptability		ʌksɛˌptʌbɪˈlʌti
acceptable		æksɛˈptʌbʌl
acceptable(1)		ʌksɛˈptʌbʌl
acceptably		æksɛˈptʌbli
acceptably(1)		ʌksɛˈptʌbli
acceptance		æksɛˈptʌns
acceptance(1)		ʌksɛˈptʌns
acceptances		æksɛˈptʌnsɪz
accepted		æksɛˈptɪd
accepted(1)		ʌksɛˈptʌd
accepting		æksɛˈptɪŋ
accepting(1)		ʌksɛˈptɪŋ
accepts		æksɛˈpts
access			æˈksɛˌs
accessed		æˈksɛˌst
accessibility		æˌksɛsʌbɪˈlɪti
accessible		æksɛˈsʌbʌl
accessing		æˈksɛˌsɪŋ
accession		ʌksɛˈʃʌn
accessories		æksɛˈsɚiz
accessorize		æksɛˈsɚajˌz
accessorized		æksɛˈsɚajˌzd
accessory		æksɛˈsɚi
accetta		ɑʧɛˈtʌ
accident		æˈksʌdʌnt
accident's		æˈksʌdʌnts
accidental		æˌksʌdɛˈntʌl
accidental(1)		æˌksʌdɛˈnʌl
accidentally		æˌksʌdɛˈntʌli
accidentally(1)	æˌksʌdɛˈnʌli
accidently		æˈksʌdʌntli
accidents		æˈksʌdʌnts
accion			æˈʧiʌn
accival		æˈsɪvɑˌl
acclaim		ʌklejˈm
acclaim's		ʌklejˈmz
acclaimed		ʌklejˈmd
acclaiming		ʌklejˈmɪŋ
acclaims		ʌklejˈmz
acclamation		æˌklʌmejˈʃʌn
acclimate		æˈklʌmejˌt
acclimated		æˈklʌmejˌtɪd
acclimation		æˌklʌmejˈʃʌn
acco			æˈkow
accokeek		æˈkowkik
accola			ɑkowˈlʌ
accolade		æˈkʌlejˌd
accolades		æˈkʌlejˌdz
accomando		ɑkowmɑˈndow
accommodate		ʌkɑˈmʌdejˌt
accommodated		ʌkɑˈmʌdejˌtʌd
accommodates		ʌkɑˈmʌdejˌts
accommodating		ʌkɑˈmʌdejˌtɪŋ
accommodation		ʌkɑˌmʌdejˈʃʌn
accommodations		ʌkɑˌmʌdejˈʃʌnz
accommodative		ʌkɑˈmʌdejˌtɪv
accompanied		ʌkʌˈmpʌnid
accompanies		ʌkʌˈmpʌniz
accompaniment		ʌkʌˈmpnɪmʌnt
accompaniment(1)	ʌkʌˈmpnimʌnt
accompaniments		ʌkʌˈmpnɪmʌnts
accompaniments(1)	ʌkʌˈmpnimʌnts
accompanist		ʌkʌˈmpʌnʌst
accompany		ʌkʌˈmpʌni
accompanying		ʌkʌˈmpʌniɪŋ
accompli		ɑˌkɑˈmpli
accompli(1)		ʌkɑˈmpli
accomplice		ʌkɑˈmplʌs
accomplices		ʌkɑˈmplʌsʌz
accomplish		ʌkɑˈmplɪʃ
accomplished		ʌkɑˈmplɪʃt
accomplishes		ʌkɑˈmplɪʃɪz
accomplishing		ʌkɑˈmplɪʃɪŋ
accomplishment		ʌkɑˈmplɪʃmʌnt
accomplishments	ʌkɑˈmplɪʃmʌnts
accor			æˈkɔˌɹ
accor's		æˈkɚz
accord			ʌkɔˈɹd
accord's		ʌkɔˈɹdz
accordance		ʌkɔˈɹdʌns
accorded		ʌkɔˈɹdɪd
according		ʌkɔˈɹdɪŋ
accordingly		ʌkɔˈɹdɪŋli
accordion		ʌkɔˈɹdiʌn
accordions		ʌkɔˈɹdiʌnz
accords		ʌkɔˈɹdz
accost			ʌkɔˈst
accosted		ʌkɑˈstʌd
accosting		ʌkɑˈstɪŋ
account		ʌkawˈnt
account's		ʌkawˈnts
accountability		ʌkawˈntʌbɪlɪti
accountability(1)	ʌkawˈnʌbɪlɪti
accountable		ʌkawˈntʌbʌl
accountable(1)		ʌkawˈnʌbʌl
accountancy		ʌkawˈntʌnsi
accountant		ʌkawˈntʌnt
accountant's		ʌkawˈntʌnts
accountants		ʌkawˈntʌnts
accountants'		ʌkawˈntʌnts
accounted		ʌkawˈntʌd
accounted(1)		ʌkawˈnʌd
accountemp		ʌkawˈntɛˌmp
accountemps		ʌkawˈntɛˌmps
accounting		ʌkawˈntɪŋ
accounting(1)		ʌkawˈnɪŋ
accounts		ʌkawˈnts
accouterment		ʌkuˈtɚmʌnt
accouterments		ʌkuˈtɚmʌnts
accoutrement		ʌkuˈtɚmʌnt
accoutrements		ʌkuˈtɚmʌnts
accredit		ʌkɹɛˌdʌt
accreditation		ʌkɹɛˌdʌtejˈʃʌn
accreditations		ʌkɹɛˌdʌdejˈʃʌnz
accredited		ʌkɹɛˈdɪtɪd
accrediting		ʌkɹɛˈdʌtɪŋ
accreted		ʌkɹiˈtɪd
accretion		ʌkɹiˈʃʌn
accrual		ʌkɹuˈʌl
accruals		ʌkɹuˈʌlz
accrue			ʌkɹuˈ
accrued		ʌkɹuˈd
accrues		ʌkɹuˈz
accruing		ʌkɹuˈɪŋ
accu			æˈkju
accuhealth		æˈkjuhɛˌlθ
accumulate		ʌkjuˈmjʌlejˌt
accumulated		ʌkjuˈmjʌlejˌtɪd
accumulates		ʌkjuˈmjʌlejˌts
accumulating		ʌkjuˈmjʌlejˌtɪŋ
accumulation		ʌkjuˌmjʌlejˈʃʌn
accumulations		ʌkjuˌmjʌlejˈʃʌnz
accumulative		ʌkjuˈmjʌlejˌtɪv
accumulatively		ʌkjuˈmjʌlejˌtɪvli
accumulatively(1)	ʌkjuˈmjʌlʌtɪvli
accumulator		ʌkjuˈmjʌlejˌtɚ
accumulators		ʌkjuˈmjʌlejˌtɚz
accuracies		æˈkjɚʌsiz
accuracy		æˈkjɚʌsi
accurate		æˈkjɚʌt
accurately		æˈkjɚʌtli
accuray		æˈkjɚejˌ
accuray's		æˈkjɚejˌz
accuride		æˈkjɚajˌd
accurso		ɑkʊˈɹsow
accusation		æˌkjʌzejˈʃʌn
accusation(1)		æˌkjuzejˈʃʌn
accusations		æˌkjʌzejˈʃʌnz
accusations(1)		æˌkjuzejˈʃʌnz
accusative		ʌkjuˈzʌtɪv
accusatory		ʌkjuˈzʌtɔˌɹi
accuse			ʌkjuˈz
accused		ʌkjuˈzd
accuser		ʌkjuˈzɚ
accusers		ʌkjuˈzɚz
accuses		ʌkjuˈzɪz
accusing		ʌkjuˈzɪŋ
accusingly		ʌkjuˈzɪŋli
accustom		ʌkʌˈstʌm
accustomed		ʌkʌˈstʌmd
accutane		æˈkjutejˌn
ace			ejˈs
acecomm		ejˈskɑm
aced			ejˈst
acer			ejˈsɚ
acerbic		ʌsɛˈɹbɪk
acero			ʌsɛˈɹow
acero(1)		ʌsjɛˈɹow
acero(2)		ʌθɛˈɹow
acerra			ʌsɛˈɹʌ
aces			ejˈsɪz
acetaminophen		ʌsiˌtʌmɪˈnʌfʌn
acetate		æˈsʌtejˌt
acetic			ʌsɛˈtɪk
acetic(1)		ʌsiˈtɪk
aceto			ɑsɛˈtow
acetochlor		ɑsɛˈtowklɔˌɹ
acetone		æˈsʌtowˌn
acetosyringone		ʌsɛˌtowsɪˈɹɪŋgɔn
acetylcholine		ʌsɛˌtʌlkowˈlin
acetylcholine(1)	ʌsiˌtʌlkowˈlin
acetylene		ʌsɛˈtʌliˌn
acevedo		æsʌvejˈdow
aceves			ɑsejˈvɛs
acey			ejˈsi
achaean		ʌʧiˈʌn
achatz			æˈkʌts
ache			ejˈk
achebe			ɑʧejˈbi
ached			ejˈkt
achee			ʌʧiˈ
achenbach		æˈkɪnbɑk
achenbaum		æˈkʌnbawˌm
aches			ejˈks
acheson		æˈʧʌsʌn
acheson's		æˈʧʌsʌnz
achesons		æˈʧʌsʌnz
achey			æˈʧi
achieva		ʌʧiˈvʌ
achievable		ʌʧiˈvʌbʌl
achieve		ʌʧiˈv
achieved		ʌʧiˈvd
achievement		ʌʧiˈvmʌnt
achievements		ʌʧiˈvmʌnts
achiever		ʌʧiˈvɚ
achievers		ʌʧiˈvɚz
achieves		ʌʧiˈvz
achieving		ʌʧiˈvɪŋ
achille		ʌkɪˈli
achilles		ʌkɪˈliz
achilles'		ʌkɪˈliz
aching			ejˈkɪŋ
achingly		ejˈkɪŋli
achmed			ɑˈhmɛd
achoa			ʌʧowˈʌ
achoa's		ʌʧowˈʌz
achor			ejˈkɚ
achord			æˈkɔɹd
achorn			æˈkɚn
achtenberg		æˈktɛnbɚg
achterberg		æˈktɚbɚg
achy			ejˈki
acid			æˈsʌd
acidic			ʌsɪˈdɪk
acidification		ʌsɪˌdʌfʌkejˈʃʌn
acidified		ʌsɪˈdʌfajˌd
acidifies		ʌsɪˈdʌfajˌz
acidify		ʌsɪˈdʌfajˌ
acidity		ʌsɪˈdʌti
acidly			æˈsʌdli
acidosis		æˌsʌdowˈsʌs
acids			æˈsʌdz
aciduria		æˌsʌdʊˈɹiʌ
acierno		ɑsɪˈɹnow
ack			æˈk
acker			æˈkɚ
acker's		æˈkɚz
ackerley		æˈkɚli
ackerly		æˈkɚli
ackerman		æˈkɚmʌn
ackermann		æˈkɚmʌn
ackermanville		æˈkɚmʌnvɪl
ackerson		æˈkɚsʌn
ackert			æˈkɚt
ackhouse		æˈkhawˌs
ackland		æˈklʌnd
ackles			æˈkʌlz
ackley			æˈkli
acklin			æˈklɪn
ackman			æˈkmʌn
acknowledge		æknɑˈlɪʤ
acknowledge(1)		ɪknɑˈlɪʤ
acknowledgeable	æknɑˈlɪʤʌbʌl
acknowledgeable(1)	ɪknɑˈlɪʤʌbʌl
acknowledged		æknɑˈlɪʤd
acknowledged(1)	ɪknɑˈlɪʤd
acknowledgement	æknɑˈlɪʤmʌnt
acknowledgement(1)	ɪknɑˈlɪʤmʌnt
acknowledgements	æknɑˈlɪʤmʌnts
acknowledgements(1)	ɪknɑˈlɪʤmʌnts
acknowledges		æknɑˈlɪʤɪz
acknowledges(1)	ɪknɑˈlɪʤɪz
acknowledging		æknɑˈlɪʤɪŋ
acknowledging(1)	ɪknɑˈlɪʤɪŋ
acknowledgment		æknɑˈlɪʤmʌnt
acknowledgment(1)	ɪknɑˈlɪʤmʌnt
ackroyd		æˈkɹɔjˌd
ackroyd's		æˈkɹɔjˌdz
acmat			æˈkmæt
acmat's		æˈkmæts
acme			æˈkmi
acme's			æˈkmiz
acne			æˈkni
acocella		ɑkowʧɛˈlʌ
acoff			æˈkɔf
acog			ʌkɔˈg
acolyte		æˈkʌlajˌt
acolytes		æˈkʌlajˌts
acord			ʌkɔˈɹd
acordia		ʌkɔˈɹdiʌ
acorn			ejˈkɔɹn
acorn's		ejˈkɔɹnz
acorns			ejˈkɔɹnz
acosta			ʌkɔˈstʌ
acott			ejˈkɔt
acoustic		ʌkuˈstɪk
acoustical		ʌkuˈstɪkʌl
acoustically		ʌkuˈstɪkli
acoustics		ʌkuˈstɪks
acquaint		ʌkwejˈnt
acquaintance		ʌkwejˈntʌns
acquaintances		ʌkwejˈntʌnsɪz
acquaintanceship	ʌkwejˈntʌnsʃɪp
acquainted		ʌkwejˈntɪd
acquainted(1)		ʌkwejˈnɪd
acquaviva		ɑkwɑviˈvʌ
