Claim Name,Claim Description,Change Controller,Reference
auth_time,Time when the authentication occurred,[OpenID_Foundation_Artifact_Binding_Working_Group],"[OpenID Connect Core 1.0, Section 2]"
at_hash,Access Token hash value,[OpenID_Foundation_Artifact_Binding_Working_Group],"[OpenID Connect Core 1.0, Section 2]"
c_hash,Code hash value,[OpenID_Foundation_Artifact_Binding_Working_Group],"[OpenID Connect Core 1.0, Section 3.3.2.11]"
acr,Authentication Context Class Reference,[OpenID_Foundation_Artifact_Binding_Working_Group],"[OpenID Connect Core 1.0, Section 2]"
amr,Authentication Methods References,[OpenID_Foundation_Artifact_Binding_Working_Group],"[OpenID Connect Core 1.0, Section 2]"
sub_jwk,Public key used to check the signature of an ID Token,[OpenID_Foundation_Artifact_Binding_Working_Group],"[OpenID Connect Core 1.0, Section 7.4]"
cnf,Confirmation,[IESG],"[RFC7800, Section 3.1]"
sip_from_tag,SIP From tag header field parameter value,[IESG],[RFC8055][RFC3261]
sip_date,SIP Date header field value,[IESG],[RFC8055][RFC3261]
sip_callid,SIP Call-Id header field value,[IESG],[RFC8055][RFC3261]
sip_cseq_num,SIP CSeq numeric header field parameter value,[IESG],[RFC8055][RFC3261]
sip_via_branch,SIP Via branch header field parameter value,[IESG],[RFC8055][RFC3261]
orig,Originating Identity String,[IESG],"[RFC8225, Section 5.2.1]"
dest,Destination Identity String,[IESG],"[RFC8225, Section 5.2.1]"
mky,Media Key Fingerprint String,[IESG],"[RFC8225, Section 5.2.2]"
events,Security Events,[IESG],"[RFC8417, Section 2.2]"
toe,Time of Event,[IESG],"[RFC8417, Section 2.2]"
txn,Transaction Identifier,[IESG],"[RFC8417, Section 2.2]"
rph,Resource Priority Header Authorization,[IESG],"[RFC8443, Section 3]"
sid,Session ID,[OpenID_Foundation_Artifact_Binding_Working_Group],"[OpenID Connect Front-Channel Logout 1.0, Section 3]"
vot,Vector of Trust value,[IESG],[RFC8485]
vtm,Vector of Trust trustmark URL,[IESG],[RFC8485]
attest,Attestation level as defined in SHAKEN framework,[IESG],[RFC8588]
origid,Originating Identifier as defined in SHAKEN framework,[IESG],[RFC8588]
act,Actor,[IESG],"[RFC8693, Section 4.1]"
scope,Scope Values,[IESG],"[RFC8693, Section 4.2]"
client_id,Client Identifier,[IESG],"[RFC8693, Section 4.3]"
may_act,"Authorized Actor - the party that is authorized
        to become the actor",[IESG],"[RFC8693, Section 4.4]"
jcard,jCard data,[IESG],[RFC8688][RFC7095]
at_use_nbr,Number of API requests for which the access token can be used,[ETSI],[ETSI GS NFV-SEC 022 V2.7.1]
div,Diverted Target of a Call,[IESG],[RFC8946]
opt,Original PASSporT (in Full Form),[IESG],[RFC8946]
vc,Verifiable Credential as specified in the W3C Recommendation,[IESG],"[W3C Recommendation
  Verifiable Credentials Data Model 1.0 - Expressing verifiable information on the Web (19 November 2019), Section 6.3.1]"
vp,Verifiable Presentation as specified in the W3C Recommendation,[IESG],"[W3C Recommendation
  Verifiable Credentials Data Model 1.0 - Expressing verifiable information on the Web (19 November 2019), Section 6.3.1]"
sph,SIP Priority header field,[IESG],[RFC9027]
ace_profile,"The ACE profile a token is supposed to be used
        with.",[IETF],"[RFC-ietf-ace-oauth-authz-46, Section 5.10]"
cnonce,"""client-nonce"".  A nonce previously provided to
        the AS by the RS via the client.  Used to verify token freshness
        when the RS cannot synchronize its clock with the AS.",[IETF],"[RFC-ietf-ace-oauth-authz-46, Section 5.10]"
exi,"""Expires in"".  Lifetime of the token in seconds
        from the time the RS first sees it.  Used to implement a weaker
        from of token expiration for devices that cannot synchronize their
        internal clocks.",[IETF],"[RFC-ietf-ace-oauth-authz-46, Section 5.10.3]"
roles,Roles,[IETF],"[RFC7643, Section 4.1.2][RFC9068, Section 2.2.3.1]"
groups,Groups,[IETF],"[RFC7643, Section 4.1.2][RFC9068, Section 2.2.3.1]"
entitlements,Entitlements,[IETF],"[RFC7643, Section 4.1.2][RFC9068, Section 2.2.3.1]"
token_introspection,Token introspection response,[IETF],"[RFC-ietf-oauth-jwt-introspection-response-12, Section 5]"
